#,sujeto,genero,edad,edo_civil,carrera,semestre,discapacidad,lengua,esc_proc,prom,ant_aca,gusto,familia,tipo_f,vivienda,desercion
1,198,1,0,0,3,0,0,1,-1,-1,1548,0,0,0,0,False
2,848,0,1,0,2,0,1,1,-1,1,22,0,0,0,0,False
3,1221,1,1,0,8,0,0,1,-1,-1,1356,0,0,0,0,True
4,198,1,0,0,3,0,0,1,-1,-1,1548,0,0,0,0,False
5,846,0,1,0,2,0,0,1,-1,-1,27,0,0,1,0,False
6,850,1,1,0,2,0,0,1,1,-1,3,0,0,1,0,False
7,867,0,1,0,2,0,0,1,-1,-1,13,0,0,0,0,False
8,866,0,1,0,2,0,1,1,0,1,19,0,0,0,0,False
9,849,0,1,0,2,0,0,1,-1,-1,20,1,0,0,0,False
10,859,0,1,0,2,0,1,1,0,-1,5,0,0,0,0,False
11,865,0,1,0,2,0,0,1,0,-1,2,0,0,0,0,False
12,863,0,1,0,2,0,0,1,0,1,4,0,0,0,0,False
13,855,1,1,0,2,0,0,1,-1,0,1,0,0,1,0,False
14,853,0,1,0,2,0,0,2,-1,1,21,1,0,2,0,False
15,856,0,1,0,2,0,1,1,-1,-1,9,0,0,1,0,False
16,852,0,1,0,2,0,0,1,-1,2,8,0,0,1,0,False
17,839,1,1,0,2,0,0,1,-1,-1,15,0,0,0,0,False
18,860,0,1,0,2,0,0,1,-1,0,17,0,0,0,0,False
19,854,0,1,0,2,0,0,1,-1,-1,11,0,0,0,0,False
20,862,0,1,0,2,0,1,1,-1,-1,12,0,0,0,0,False
21,871,0,1,0,2,0,0,1,-1,-1,23,0,0,0,0,False
22,870,0,1,0,2,0,0,1,-1,-1,26,0,0,0,0,False
23,864,0,0,0,2,0,1,1,-1,-1,24,0,0,0,0,False
24,840,0,1,0,2,0,0,1,0,-1,18,0,0,1,0,False
25,844,1,1,0,2,0,0,1,0,-1,14,0,0,1,0,False
26,793,1,1,0,1,0,0,1,-1,1,456,0,0,1,0,False
27,905,1,1,0,14,0,0,1,-1,-1,1125,0,0,0,0,False
28,1302,1,1,0,14,0,0,1,-1,-1,390,0,0,1,0,False
29,862,0,1,0,2,0,1,1,-1,-1,12,0,0,0,0,False
30,871,0,1,0,2,0,0,1,-1,-1,23,0,0,0,0,False
31,839,1,1,0,2,0,0,1,-1,-1,15,0,0,0,0,False
32,840,0,1,0,2,0,0,1,0,-1,18,0,0,1,0,False
33,844,1,1,0,2,0,0,1,0,-1,14,0,0,1,0,False
34,850,1,1,0,2,0,0,1,1,-1,3,0,0,1,0,False
35,855,1,1,0,2,0,0,1,-1,0,1,0,0,1,0,False
36,865,0,1,0,2,0,0,1,0,-1,2,0,0,0,0,False
37,863,0,1,0,2,0,0,1,0,1,4,0,0,0,0,False
38,864,0,0,0,2,0,1,1,-1,-1,24,0,0,0,0,False
39,859,0,1,0,2,0,1,1,0,-1,5,0,0,0,0,False
40,854,0,1,0,2,0,0,1,-1,-1,11,0,0,0,0,False
41,853,0,1,0,2,0,0,2,-1,1,21,1,0,2,0,False
42,848,0,1,0,2,0,1,1,-1,1,22,0,0,0,0,False
43,856,0,1,0,2,0,1,1,-1,-1,9,0,0,1,0,False
44,849,0,1,0,2,0,0,1,-1,-1,20,1,0,0,0,False
45,860,0,1,0,2,0,0,1,-1,0,17,0,0,0,0,False
46,870,0,1,0,2,0,0,1,-1,-1,26,0,0,0,0,False
47,866,0,1,0,2,0,1,1,0,1,19,0,0,0,0,False
48,846,0,1,0,2,0,0,1,-1,-1,27,0,0,1,0,False
49,852,0,1,0,2,0,0,1,-1,2,8,0,0,1,0,False
50,867,0,1,0,2,0,0,1,-1,-1,13,0,0,0,0,False
51,1421,0,1,0,4,0,0,1,0,1,820,0,0,0,0,False
52,1088,0,1,0,4,0,0,1,-1,-1,367,0,0,0,0,False
53,905,1,1,0,14,0,0,1,-1,-1,1125,0,0,0,0,False
54,1302,1,1,0,14,0,0,1,-1,-1,390,0,0,1,0,False
55,198,1,0,0,3,0,0,1,-1,-1,1548,0,0,0,0,False
56,793,1,1,0,1,0,0,1,-1,1,456,0,0,1,0,False
57,1337,0,0,0,7,0,0,1,0,-1,866,0,0,0,0,True
58,1502,1,1,0,2,0,0,1,-1,-1,498,0,0,1,0,False
59,839,1,1,0,2,0,0,1,-1,-1,15,0,0,0,0,False
60,854,0,1,0,2,0,0,1,-1,-1,11,0,0,0,0,False
61,3064,0,0,0,3,0,0,1,0,-1,915,0,0,2,2,False
62,3004,0,1,0,3,0,0,1,-1,-1,631,0,0,1,0,False
63,3022,0,1,0,3,0,0,1,0,-1,913,0,0,1,-1,False
64,3060,0,1,0,3,0,0,1,-1,-1,644,0,0,0,0,False
65,3186,0,1,0,3,0,1,1,0,-1,636,0,0,0,0,False
66,2832,0,1,0,3,0,0,1,-1,-1,630,0,0,0,-1,False
67,3187,0,1,0,3,0,0,1,-1,-1,637,0,0,1,0,False
68,3088,1,1,0,3,0,1,1,-1,-1,651,0,0,1,0,False
69,2710,1,1,0,3,0,1,1,-1,-1,653,0,0,1,0,False
70,3166,0,1,0,3,0,0,1,-1,-1,686,0,0,1,0,False
